atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Delcroix,Delcroix,99325,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_RB8Zg0G.png,3,3.73,Hannes Piterson Delcroix,0.0,3,3.51,4,delcroix,6,0.0,,,,,,7.0,1.0,,,2.0,,,,,,,,,,
Pépé,Pépé,99331,Costa do Marfim,2350,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_4hqI2Va.png,4,6.27,Nicolas Pépé,8.2,5,8.06,4,pepe,7,0.02,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,
Ismaïla Sarr,I. Sarr,99405,Senegal,2347,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/21/photo_FORMATO_5J0yEbI.png,4,14.3,Ismaïla Sarr,19.0,5,16.01,4,ismaila-sarr,6,2.39,1.0,,,,,3.0,1.0,1.0,5.0,10.0,2.0,4.0,,,2.0,,,,,
McTominay,McTominay,99481,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_VH3wK2T.png,3,3.2,Scott Francis McTominay,0.0,4,9.28,4,mctominay,6,0.0,,,,,,1.0,3.0,3.0,3.0,,1.0,,,,,,,,,
Kluivert,Kluivert,99514,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_U6uIzDo.png,2,0.5,Justin Dean Kluivert,0.0,4,5.36,4,kluivert,6,-0.71,,,,,,,,,,2.0,,,,,,,,,,
De Jong,D. Jong,99515,Holanda,2381,0.9181549106,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_6IrBvKU.png,4,4.05,Frenkie de Jong,0.6,4,8.52,4,de-jong,7,-0.95,,,,,,10.0,6.0,,,6.0,,,,,,,,,,
Vini Jr.,V. Jr.,99535,Brasil,2318,0.97,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_YAJutB8.png,4,13.42,Vinícius José Paixão de Oliveira Júnior,8.0,5,21.83,4,vini-jr,7,-1.57,1.0,,,,,1.0,4.0,5.0,4.0,9.0,1.0,4.0,,,3.0,,,,,
Degenek,Degenek,99680,Austrália,2333,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_AAq8HY0.png,0,0.0,Milos Degenek,0.0,3,3.0,4,degenek,6,0.0,,,,,,,,,,,,,,,,,,,,
Hrustic,Hrustic,99684,Austrália,2333,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_qVGNmDf.png,2,2.1,Ajdin Hrustić,1.2,4,4.1,4,hrustic,6,-0.22,,,,,,3.0,1.0,,,,,,,,,,,,,
Hugo Broos,H. Broos,99705,África do Sul,2358,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_YAMTnS3.png,2,4.87,Hugo Broos,0.0,6,5.33,4,hugo-broos,6,0.0,,,,,,,,,,,,,,,,,,,,1.0
Boxall,Boxall,99712,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_RcjYxm2.png,3,1.3,Michael Joseph Boxall,0.0,3,3.17,4,boxall,6,0.0,,,,,,2.0,2.0,,,3.0,,,,,,,,,,
Ryan Thomas,R. Thomas,99715,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_9BJioyA.png,3,2.2,Ryan Jared Thomas,0.0,4,3.75,4,ryan-thomas,6,0.0,,,,,,4.0,3.0,,,3.0,,,,,,,,,,
Rufer,Rufer,99717,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_9bZCBxr.png,0,0.0,Alex Arthur Rufer,0.0,4,2.0,4,rufer,6,0.0,,,,,,,,,,,,,,,,,,,,
Galíndez,Galíndez,99748,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_OdUZyFz.png,4,3.5,Hernán Ismael Galíndez,-0.7,1,5.86,4,galindez,7,-0.68,,,,10.0,,,,,,,,,,4.0,,,,,1.0,
Jhon Arias,J. Arias,99815,Colômbia,2373,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_m8CZz0U.png,1,7.7,Jhon Adolfo Arias Andrade,0.0,4,10.05,4,jhon-arias,6,0.0,,,,,,3.0,3.0,3.0,,1.0,,,,,,,,,,
Bremer,Bremer,99817,Brasil,2318,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_4hi4oXF.png,0,0.0,Gleison Bremer Silva Nascimento,0.0,3,8.0,4,bremer,6,0.0,,,,,,,,,,,,,,,,,,,,
Pedro Neto,P. Neto,99851,Portugal,2390,0.7,True,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_b5oCSxi.png,4,1.78,Pedro Lomba Neto,1.5,5,8.49,4,pedro-neto,7,-0.51,1.0,,,,,1.0,3.0,,,3.0,,,,,,,,,,
Valverde,Valverde,99857,Uruguai,2356,0.8918504821,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_73tuWKm.png,3,4.4,Federico Santiago Valverde Dipetta,0.0,4,14.98,4,valverde,6,0.0,,,,,,5.0,1.0,1.0,6.0,,,,,,,,,,,
Thuram,Thuram,99977,França,2385,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_ZR6smrF.png,1,0.0,Marcus Lilian Thuram-Ulien,0.0,5,11.34,4,thuram,6,0.0,,,,,,,,,,,,,,,,,,,,
Posch,Posch,99997,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_MIhd75U.png,4,3.32,Stefan Posch,3.9,2,4.97,4,posch,6,0.16,,2.0,,,,10.0,6.0,,2.0,3.0,,,,,,1.0,,,,
Kahveci,Kahveci,100008,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_IcqQcMO.png,1,1.5,İrfan Can Kahveci - Irfan,0.0,4,4.61,4,kahveci,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
Niakhaté,Niakhaté,100038,Senegal,2347,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/21/photo_FORMATO_5PBU03D.png,4,3.4,Moussa Niakhaté,5.0,3,6.2,4,niakhate,6,0.31,1.0,,,,,1.0,3.0,,,6.0,,,,,,,,,1.0,
Demirovic,Demirovic,100098,Bósnia,2865,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_5dwaWU4.png,3,1.07,Ermedin Demirović,3.2,5,6.24,4,demirovic,6,0.08,,1.0,,,,1.0,12.0,4.0,,3.0,,,,,,,,,,
Soucek,Soucek,100124,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_yzAwB9E.png,2,0.05,Tomáš Souček - Tomás,0.0,4,5.52,4,soucek,6,0.0,,,,,,,2.0,,1.0,,,,,,1.0,,,,,
Berge,Berge,100140,Noruega,2323,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_vQVwKEc.png,3,2.97,Sander Gard Bolin Berge,3.0,4,5.03,4,berge,7,0.07,,,,,,6.0,2.0,,,1.0,,,,,,,,,,
Luis Díaz,L. Díaz,100190,Colômbia,2373,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_AJFxmd9.png,1,1.5,Luis Fernando Díaz Marulanda,0.0,5,16.87,4,luis-diaz,6,0.0,,,,,,,,,2.0,,,,,,1.0,,,,,
Amrabat,Amrabat,100223,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_GWVFlob.png,1,4.7,Sofyan Amrabat,0.0,4,6.55,4,amrabat,6,0.0,,,,,,3.0,1.0,,,1.0,,,,,,,,,,
Pentz,Pentz,100266,Áustria,2391,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_fcNwAdm.png,0,0.0,Patrick Pentz,0.0,1,4.0,4,pentz,6,0.0,,,,,,,,,,,,,,,,,,,,
Geertruida,Geertruida,100303,Holanda,2381,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/08/photo_FORMATO.png,0,0.0,Lutsharel Emiliano Geertruida,0.0,2,5.0,4,geertruida,6,0.0,,,,,,,,,,,,,,,,,,,,
McKennie,McKennie,100316,Estados Unidos,2365,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_BTX9o8N.png,4,2.08,Weston James Earl McKennie,1.2,4,6.02,4,mckennie,7,-0.78,,,,,,4.0,6.0,1.0,3.0,1.0,,,,,,,,,,
Vlasic,Vlasic,100318,Croácia,2379,0.8354590232,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_j7VfU65.png,3,5.13,Nikola Vlašić,3.8,4,7.35,4,vlasic,7,-0.5,,,,,,4.0,4.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,
Gouiri,Gouiri,100320,Argélia,2338,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/23/photo_FORMATO_WSDH57T.png,4,2.93,Amine Ferid Ghouiri,0.0,5,6.26,4,gouiri,6,-0.48,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,
Souttar,Souttar,100414,Austrália,2333,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_mz5eekN.png,4,2.83,Harry James Souttar,-1.2,3,3.75,4,souttar,6,-1.07,,1.0,,,,2.0,8.0,1.0,,1.0,,,,,,,,,2.0,
Mvogo,Mvogo,100507,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_DESRPit.png,0,0.0,Yvon Landry Mvogo Nganoma,0.0,1,3.0,4,mvogo,6,0.0,,,,,,,,,,,,,,,,,,,,
Zlatko Dalic,Z. Dalic,100539,Croácia,2379,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_TfvzhmR.png,3,4.68,Zlatko Dalić,3.53,6,6.94,4,zlatko-dalic,7,-0.01,,,,,,,,,,,,,,,,,,,,1.0
Upamecano,Upamecano,100627,França,2385,0.7594372644,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_hYpJDjE.png,4,4.57,Dayotchanculle Oswald Upamecano,4.7,3,9.02,4,upamecano,7,0.33,,,,,,6.0,4.0,,,1.0,,,,,,,,,2.0,
Konaté,Konaté,100628,França,2385,0.8484039825,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_lX6Mgqa.png,1,0.0,Ibrahima Konaté,0.0,3,7.36,4,konate,6,0.0,,,,,,,,,,,,,,,,,,,,
Laimer,Laimer,100629,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_hYnrKgT.png,4,4.35,Konrad Laimer,3.9,2,7.36,4,laimer,6,-0.42,1.0,1.0,,,,8.0,6.0,1.0,1.0,3.0,,,,,3.0,,,,,
Crocombe,Crocombe,100689,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_hHRW2hH.png,3,1.6,Maxime Teremoana Crocombe,0.0,1,3.35,4,crocombe,6,0.0,,,,11.0,,,,,,1.0,,,,10.0,,,,,,
Al-Owais,Al-Owais,100692,Arábia Saudita,2344,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/01/photo_FORMATO_P4mtMgO.png,3,7.1,Mohammed Khalil Ibrahim Al Owais - Alowais,0.0,1,6.86,4,al-owais,6,0.0,,,,16.0,,,,,,1.0,,,,5.0,,,,,1.0,
Joris Kayembe,J. Kayembe,100730,RD Congo,3184,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_jDLnVGy.png,3,0.67,Joris Kayembe Ditu - Kayembe-Ditu,0.0,2,1.77,4,joris-kayembe,6,-0.16,,,,,,1.0,,,,1.0,,,,,,,,,,
Moutoussamy,Moutoussamy,100731,RD Congo,3184,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_rDjX3mb.png,3,1.8,Samuel Albert Alain Arcade Moutoussamy,2.7,4,2.48,4,moutoussamy,6,0.38,,1.0,,,,4.0,3.0,,1.0,1.0,,,,,,,,,,
Itten,Itten,100739,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_pZ42dKS.png,1,-0.3,Cedric Jan Itten,0.0,5,2.35,4,itten,6,0.0,,,,,,,1.0,,,,,,,,,,,,,
Brahim Díaz,B. Díaz,100745,Marrocos,2332,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_V4Vo37h.png,4,5.3,Brahim Abdelkader Díaz,1.5,4,8.57,4,brahim-diaz,7,-0.62,2.0,,,,,4.0,1.0,1.0,1.0,7.0,,,,,,,,,,
Yehvann Diouf,Y. Diouf,100760,Senegal,2347,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/21/photo_FORMATO_VUzcgEc.png,0,0.0,Yehvann Djibril Victor Diouf,0.0,1,4.0,4,yehvann-diouf,6,0.0,,,,,,,,,,,,,,,,,,,,
Anton,Anton,100802,Alemanha,2384,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_x3nHwop.png,2,1.85,Waldemar Anton,2.2,3,6.08,4,anton,6,-0.09,,,,,,2.0,3.0,1.0,,1.0,,,,,1.0,,,,,
Nuno da Costa,N. Costa,100815,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_ACBB1Wv.png,4,1.33,Nuno Miguel da Costa Jóia,0.0,5,3.76,4,nuno-da-costa,7,-0.45,,,,,,2.0,,,1.0,3.0,,,,,,,,,,
McCowatt,McCowatt,100836,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_sLsgDV3.png,3,1.13,Callum William McCowatt,0.0,4,2.58,4,mccowatt,6,0.0,,1.0,,,,1.0,4.0,3.0,,1.0,,,,,,,,,,
Burnic,Burnic,100930,Bósnia,2865,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_AjeJQzn.png,2,0.0,Dženis Burnić,0.0,4,2.74,4,burnic,6,0.0,,,,,,,,,,,,,,,,,,,,
Room,Room,101096,Curaçao,3221,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_ukhLFL9.png,3,7.33,Eloy Victor Room,0.0,1,5.46,4,room,6,0.0,,,,20.0,,,,,,,,,,9.0,,,,,1.0,
Luckassen,Luckassen,101098,Gana,2375,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_bnXrkDz.png,1,8.5,Derrick Luckassen,0.0,3,5.43,4,luckassen,6,0.0,,,,,,,,,,1.0,,1.0,,,,,,,,
Kelly,Kelly,101115,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_N1ESwd2.png,0,0.0,Liam Patrick Kelly,0.0,1,4.0,4,kelly,6,0.0,,,,,,,,,,,,,,,,,,,,
O'Neill,O'Neill,101124,Austrália,2333,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_E1Vtj9q.png,4,3.5,Aiden Connor O'Neill,1.5,4,4.95,4,o-neill,6,-0.6,,,,,,6.0,2.0,,2.0,8.0,,,,,,,,,,
Gakpo,Gakpo,101382,Holanda,2381,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_rHWwa8n.png,4,8.5,Cody Mathès Gakpo,9.4,5,12.48,4,gakpo,7,1.53,1.0,,,,,1.0,3.0,2.0,1.0,3.0,,3.0,,,3.0,,,,,
Obispo,Obispo,101384,Curaçao,3221,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_y8rIBn3.png,3,5.03,Armando Maria Obispo,0.0,3,5.4,4,obispo,6,0.0,,,,,,7.0,1.0,,,,,,,,1.0,,,,1.0,
Malen,Malen,101385,Holanda,2381,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_eQnEOkG.png,3,2.3,Donyell Malen,0.0,5,9.89,4,malen,6,0.0,,,,,,1.0,,3.0,1.0,2.0,,,,,,,,,,
Ferran Torres,F. Torres,101843,Espanha,2326,0.9336013174,True,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_2e9WF69.png,4,3.33,Ferrán Torres García,1.6,5,7.4,4,ferran-torres,6,-0.53,,,,,,2.0,3.0,2.0,3.0,1.0,2.0,,,,1.0,,,,,
Gabriel Martinelli,G. Martinelli,101851,Brasil,2318,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_wBkJxgD.png,3,2.97,Gabriel Teodoro Martinelli Silva,8.5,5,7.14,4,gabriel-martinelli,2,1.53,,,,,,,3.0,,1.0,2.0,,1.0,,,,,,,,
Okafor,Okafor,101924,Suíça,2320,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_avXFTcN.png,1,1.5,Noah Arinzechukwu Okafor,1.5,5,6.55,4,okafor,6,-0.45,,,,,,1.0,,,,,,,,,,,,,,
Graham Potter,G. Potter,101932,Suécia,2368,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_UUVFM3G.png,4,4.93,Graham Stephen Potter,3.8,6,7.85,4,graham-potter,7,0.02,,,,,,,,,,,,,,,,,,,,1.0
Ghoddos,Ghoddos,101937,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_0lfrTzj.png,3,2.7,Saman Ghoddos - Seyed Ghoddoos,0.0,4,4.28,4,ghoddos,6,0.0,,,,,,5.0,3.0,,2.0,,,,,,1.0,,,,,
Piquerez,Piquerez,102130,Uruguai,2356,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_smWiF7K.png,0,0.0,Joaquín Piquerez Moreira,0.0,2,5.0,4,piquerez,6,0.0,,,,,,,,,,,,,,,,,,,,
Weah,Weah,102288,Estados Unidos,2365,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_qmQ9pQf.png,2,0.2,Timothy Tarpeh Weah,0.0,5,4.92,4,weah,6,0.0,,,,,,,2.0,1.0,,,,,,,2.0,,,,,
Dalot,Dalot,102303,Portugal,2390,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_4RG4rJK.png,1,9.3,José Diogo Dalot Teixeira,0.0,2,9.8,4,dalot,6,0.0,,,,,,2.0,,,1.0,1.0,,,,,,,,,1.0,
Til,Til,102387,Holanda,2381,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_PZoEZUJ.png,1,0.0,Guus Berend Til,0.0,4,7.29,4,til,6,0.0,,,,,,,,,,,,,,,,,,,,
Weghorst,Weghorst,102388,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_TejqZlo.png,1,2.2,Wout François Maria Weghorst,2.2,5,5.95,4,weghorst,6,-0.05,,,,,,1.0,1.0,,,2.0,,,,,,,,,,
El Shenawy,E. Shenawy,102406,Egito,2324,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_Rek5yXN.png,0,0.0,Mohamed Elsayed Gomaa Elshenawy - Shennawy,0.0,1,6.0,4,el-shenawy,6,0.0,,,,,,,,,,,,,,,,,,,,
Bronn,Bronn,102422,Tunísia,2337,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_GA1C7Qq.png,1,1.2,Dylan Daniel Mahmoud Bronn,0.0,3,3.66,4,bronn,6,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,
Salem Al-Dawsari,S. Al-Dawsari,102611,Arábia Saudita,2344,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/01/photo_FORMATO_bsl1G4p.png,3,0.77,Salem Mohammed Al Dawsari - Aldawsari,0.0,5,6.25,4,salem-al-dawsari,6,0.0,,1.0,,,,1.0,3.0,,1.0,4.0,,,,,1.0,,,,,
Kamada,Kamada,102697,Japão,2369,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_73FJlzm.png,4,6.53,Daichi Kamada,-0.5,4,8.76,4,kamada,7,-0.77,,1.0,,,,6.0,2.0,,1.0,4.0,,2.0,,,1.0,,,,,
El Kajoui,E. Kajoui,102703,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_zpaldab.png,0,0.0,Munir Mohand Mohamedi El Kajoui - Monir,0.0,1,3.0,4,el-kajoui,6,0.0,,,,,,,,,,,,,,,,,,,,
Tagnaouti,Tagnaouti,102704,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_KUS3ZQy.png,0,0.0,Ahmed Reda Tagnaouti,0.0,1,3.0,4,tagnaouti,6,0.0,,,,,,,,,,,,,,,,,,,,
El Kaabi,E. Kaabi,102709,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_ijgVqYn.png,1,2.3,Ayoub El Kaabi,0.0,5,7.34,4,el-kaabi,6,0.0,,,,,,,1.0,2.0,,1.0,,,,,3.0,,,,,
Duverger,Duverger,102735,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_fPyMZt4.png,0,0.0,Josué Duverger,0.0,1,2.0,4,duverger,6,0.0,,,,,,,,,,,,,,,,,,,,
Adé,Adé,102739,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_nVk81PH.png,3,1.5,Ricardo Adé Kat,0.0,3,3.34,4,ade,6,0.0,,,,,,1.0,6.0,1.0,2.0,4.0,,,,,,,,,,
Etienne Jr.,E. Jr.,102742,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_9FCzYR6.png,1,0.0,Derrick Burckley Etienne Jr.,0.0,5,2.43,4,etienne-jr,6,0.0,,,,,,,,,,,,,,,,,,,,
Xaver Schlager,X. Schlager,102754,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_4yCCMVS.png,4,2.87,Xaver Schlager,1.5,4,5.57,4,xaver-schlager,6,-0.38,1.0,,,,,5.0,6.0,,1.0,,,,,,,,,,,
Hafez,Hafez,102763,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_gs8yENc.png,2,5.0,Karim Hafez Ramadan Seif Eldin - Seifeldin,10.0,2,4.91,4,hafez,7,2.49,1.0,,,,,3.0,,,,1.0,,,,,,,,,,
Puma Rodríguez,P. Rodríguez,102767,Panamá,3062,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_2eA6ugO.png,1,1.9,José Luis Rodríguez Francis,0.0,4,3.94,4,puma-rodriguez,6,0.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,
Taremi,Taremi,102770,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_au0v3ut.png,3,3.87,Mehdi Taremi,0.0,5,7.27,4,taremi,6,0.0,,,,,,5.0,3.0,2.0,1.0,4.0,1.0,,,,2.0,,1.0,1.0,,
Torabi,Torabi,102773,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_vOYGFdP.png,1,1.5,Mehdi Torabi - Mahdi,0.0,4,2.14,4,torabi,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
Rezaeian,Rezaeian,102775,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_WYgYZIW.png,3,12.97,Ramin Rezaeian Semeskandi - Rezaïan / Rezaeiansemeskandi,0.0,2,10.45,4,rezaeian,6,0.0,1.0,,,,,7.0,2.0,,2.0,3.0,,2.0,,,1.0,,,,1.0,
Mohammadi,Mohammadi,102777,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_r4rOYHO.png,3,4.07,Milad Mohammadi Keshmarzi - Mohammadikeshmarzi,0.0,2,4.36,4,mohammadi,6,0.0,,,,,,4.0,1.0,1.0,,1.0,,,,,2.0,,,,1.0,
Cheshmi,Cheshmi,102779,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_U259SX7.png,0,0.0,Roozbeh Cheshmi - Rouzbeh,0.0,4,2.0,4,cheshmi,6,0.0,,,,,,,,,,,,,,,,,,,,
Beiranvand,Beiranvand,102784,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_f97oqRe.png,3,6.9,Alireza Safar Beiranvand - Ali Reza Safarbeiranvand,0.0,1,6.0,4,beiranvand,6,0.0,,,,14.0,,,,,,1.0,,,,3.0,,,,,1.0,
Jo Hyeon-Woo,J. Hyeon-Woo,102790,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_EZI37L7.png,0,0.0,Jo Hyeon-Uh - Hyeonwoo / Hyun-Woo Jo,0.0,1,4.0,4,jo-hyeon-woo,6,0.0,,,,,,,,,,,,,,,,,,,,
Ganiev,Ganiev,102822,Uzbequistão,3061,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_KarepI8.png,2,0.7,Azizjon Ganiev - Azizbek Ganiyev,0.0,4,3.12,4,ganiev,6,0.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,
Ergashev,Ergashev,102831,Uzbequistão,3061,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_6yMQiwF.png,0,0.0,Botirali Ergashev,0.0,1,3.0,4,ergashev,6,0.0,,,,,,,,,,,,,,,,,,,,
Ashurmatov,Ashurmatov,102832,Uzbequistão,3061,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_ezK76yf.png,2,1.35,Rustamjon Ashurmatov - Rustam,0.0,3,3.48,4,ashurmatov,6,0.0,,,,,,2.0,1.0,,,,,,,,,,,,,
Kanno,Kanno,102838,Arábia Saudita,2344,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/01/photo_FORMATO_BbQb1ei.png,3,2.47,Mohamed Ibrahim Kanoo - Mohammed Kannu,0.0,4,5.36,4,kanno,6,0.0,,1.0,,,,5.0,5.0,2.0,,,,,,,,,,,,
