atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Nuno da Costa,N. Costa,100815,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_ACBB1Wv.png,2,2.0,Nuno Miguel da Costa Jóia,0.5,5,4.49,2,nuno-da-costa,6,-0.76,,,,,2.0,,,,2.0,,,,,,,,,,
McCowatt,McCowatt,100836,Nova Zelândia,2340,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_sLsgDV3.png,2,2.0,Callum William McCowatt,0.8,4,3.13,2,mccowatt,7,-0.4,,1.0,,,1.0,2.0,3.0,,1.0,,,,,,,,,,
Burnic,Burnic,100930,Bósnia,2865,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_AjeJQzn.png,1,0.0,Dženis Burnić,0.0,4,3.23,2,burnic,6,0.0,,,,,,,,,,,,,,,,,,,
Room,Room,101096,Curaçao,3221,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_ukhLFL9.png,2,11.35,Eloy Victor Room,24.5,1,7.92,2,room,7,6.12,,,,19.0,,,,,,,,,7.0,,,,,1.0,
Luckassen,Luckassen,101098,Gana,2375,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_bnXrkDz.png,0,0.0,Derrick Luckassen,0.0,3,3.0,2,luckassen,6,0.0,,,,,,,,,,,,,,,,,,,
Kelly,Kelly,101115,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_N1ESwd2.png,0,0.0,Liam Patrick Kelly,0.0,1,4.0,2,kelly,6,0.0,,,,,,,,,,,,,,,,,,,
O'Neill,O'Neill,101124,Austrália,2333,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_E1Vtj9q.png,2,2.6,Aiden Connor O'Neill,5.0,4,4.75,2,o-neill,7,0.64,,,,,2.0,1.0,,,5.0,,,,,,,,,,
Gakpo,Gakpo,101382,Holanda,2381,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_rHWwa8n.png,2,12.35,Cody Mathès Gakpo,22.3,5,13.94,2,gakpo,7,4.23,1.0,,,,,1.0,2.0,1.0,2.0,,2.0,,,2.0,,,,,
Obispo,Obispo,101384,Curaçao,3221,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_y8rIBn3.png,2,6.2,Armando Maria Obispo,9.5,3,5.99,2,obispo,7,1.76,,,,,5.0,,,,,,,,,1.0,,,,1.0,
Malen,Malen,101385,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_eQnEOkG.png,2,2.55,Donyell Malen,0.0,5,10.91,2,malen,7,-2.16,,,,,1.0,,3.0,,,,,,,,,,,,
Ferran Torres,F. Torres,101843,Espanha,2326,0.9336013174,True,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_2e9WF69.png,2,4.1,Ferrán Torres García,3.1,5,8.32,2,ferran-torres,6,-0.71,,,,,2.0,3.0,2.0,1.0,,1.0,,,,1.0,,,,,
Gabriel Martinelli,G. Martinelli,101851,Brasil,2318,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_wBkJxgD.png,1,1.0,Gabriel Teodoro Martinelli Silva,1.0,5,6.82,2,gabriel-martinelli,6,-1.18,,,,,,,,,2.0,,,,,,,,,,
Okafor,Okafor,101924,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_avXFTcN.png,0,0.0,Noah Arinzechukwu Okafor,0.0,5,7.0,2,okafor,6,0.0,,,,,,,,,,,,,,,,,,,
Graham Potter,G. Potter,101932,Suécia,2368,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_UUVFM3G.png,2,5.84,Graham Stephen Potter,3.25,6,7.92,2,graham-potter,7,-0.65,,,,,,,,,,,,,,,,,,,1.0
Ghoddos,Ghoddos,101937,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_0lfrTzj.png,2,2.85,Saman Ghoddos - Seyed Ghoddoos,1.2,4,4.27,2,ghoddos,7,-0.52,,,,,3.0,1.0,,2.0,,,,,,1.0,,,,,
Piquerez,Piquerez,102130,Uruguai,2356,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_smWiF7K.png,0,0.0,Joaquín Piquerez Moreira,0.0,2,5.0,2,piquerez,6,0.0,,,,,,,,,,,,,,,,,,,
Weah,Weah,102288,Estados Unidos,2365,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_qmQ9pQf.png,1,0.6,Timothy Tarpeh Weah,0.0,5,5.86,2,weah,6,0.0,,,,,,2.0,1.0,,,,,,,,,,,,
Dalot,Dalot,102303,Portugal,2390,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_4RG4rJK.png,0,0.0,José Diogo Dalot Teixeira,0.0,2,8.0,2,dalot,6,0.0,,,,,,,,,,,,,,,,,,,
Til,Til,102387,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_PZoEZUJ.png,1,0.0,Guus Berend Til,0.0,4,7.29,2,til,6,-1.71,,,,,,,,,,,,,,,,,,,
Weghorst,Weghorst,102388,Holanda,2381,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_TejqZlo.png,0,0.0,Wout François Maria Weghorst,0.0,5,6.0,2,weghorst,6,0.0,,,,,,,,,,,,,,,,,,,
El Shenawy,E. Shenawy,102406,Egito,2324,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_Rek5yXN.png,0,0.0,Mohamed Elsayed Gomaa Elshenawy - Shennawy,0.0,1,6.0,2,el-shenawy,6,0.0,,,,,,,,,,,,,,,,,,,
Bronn,Bronn,102422,Tunísia,2337,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_GA1C7Qq.png,1,1.2,Dylan Daniel Mahmoud Bronn,1.2,3,3.66,2,bronn,7,-0.34,,,,,1.0,1.0,,,,,,,,,,,,,
Salem Al-Dawsari,S. Al-Dawsari,102611,Arábia Saudita,2344,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/01/photo_FORMATO_bsl1G4p.png,2,1.2,Salem Mohammed Al Dawsari - Aldawsari,1.9,5,7.43,2,salem-al-dawsari,7,-0.82,,1.0,,,1.0,1.0,,1.0,3.0,,,,,1.0,,,,,
Kamada,Kamada,102697,Japão,2369,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_73FJlzm.png,2,12.0,Daichi Kamada,10.0,4,10.52,2,kamada,6,0.83,,,,,5.0,,,,1.0,,2.0,,,,,,,,
El Kajoui,E. Kajoui,102703,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_zpaldab.png,0,0.0,Munir Mohand Mohamedi El Kajoui - Monir,0.0,1,3.0,2,el-kajoui,6,0.0,,,,,,,,,,,,,,,,,,,
Tagnaouti,Tagnaouti,102704,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_KUS3ZQy.png,0,0.0,Ahmed Reda Tagnaouti,0.0,1,3.0,2,tagnaouti,6,0.0,,,,,,,,,,,,,,,,,,,
El Kaabi,E. Kaabi,102709,Marrocos,2332,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_ijgVqYn.png,0,0.0,Ayoub El Kaabi,0.0,5,8.0,2,el-kaabi,6,0.0,,,,,,,,,,,,,,,,,,,
Duverger,Duverger,102735,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_fPyMZt4.png,0,0.0,Josué Duverger,0.0,1,2.0,2,duverger,6,0.0,,,,,,,,,,,,,,,,,,,
Adé,Adé,102739,Haiti,2334,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_nVk81PH.png,2,1.8,Ricardo Adé Kat,1.6,3,3.68,2,ade,7,-0.24,,,,,,4.0,1.0,2.0,4.0,,,,,,,,,,
Etienne Jr.,E. Jr.,102742,Haiti,2334,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_9FCzYR6.png,1,0.0,Derrick Burckley Etienne Jr.,0.0,5,2.43,2,etienne-jr,6,-0.57,,,,,,,,,,,,,,,,,,,
Xaver Schlager,X. Schlager,102754,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_4yCCMVS.png,2,3.25,Xaver Schlager,0.6,4,5.85,2,xaver-schlager,7,-1.04,1.0,,,,2.0,5.0,,,,,,,,,,,,,
Hafez,Hafez,102763,Egito,2324,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_gs8yENc.png,1,0.0,Karim Hafez Ramadan Seif Eldin - Seifeldin,0.0,2,2.42,2,hafez,6,0.0,,,,,,,,,,,,,,,,,,,
Puma Rodríguez,P. Rodríguez,102767,Panamá,3062,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_2eA6ugO.png,0,0.0,José Luis Rodríguez Francis,0.0,4,4.0,2,puma-rodriguez,7,0.0,,,,,,,,,,,,,,,,,,,
Taremi,Taremi,102770,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_au0v3ut.png,2,5.1,Mehdi Taremi,4.4,5,8.18,2,taremi,7,-0.29,,,,,3.0,2.0,1.0,1.0,3.0,1.0,,,,2.0,,,,,
Torabi,Torabi,102773,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_vOYGFdP.png,1,1.5,Mehdi Torabi - Mahdi,1.5,4,2.14,2,torabi,6,0.14,,,,,1.0,,,,,,,,,,,,,,
Rezaeian,Rezaeian,102775,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_WYgYZIW.png,2,13.25,Ramin Rezaeian Semeskandi - Rezaïan / Rezaeiansemeskandi,6.5,2,8.55,2,rezaeian,7,0.01,1.0,,,,5.0,,,,2.0,,1.0,,,,,,,1.0,
Mohammadi,Mohammadi,102777,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_r4rOYHO.png,2,3.2,Milad Mohammadi Keshmarzi - Mohammadikeshmarzi,4.9,2,3.73,2,mohammadi,6,0.79,,,,,1.0,,,,,,,,,1.0,,,,1.0,
Cheshmi,Cheshmi,102779,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_U259SX7.png,0,0.0,Roozbeh Cheshmi - Rouzbeh,0.0,4,2.0,2,cheshmi,6,0.0,,,,,,,,,,,,,,,,,,,
Beiranvand,Beiranvand,102784,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_f97oqRe.png,2,9.55,Alireza Safar Beiranvand - Ali Reza Safarbeiranvand,13.3,1,7.09,2,beiranvand,7,2.66,,,,12.0,,,,,1.0,,,,2.0,,,,,1.0,
Jo Hyeon-Woo,J. Hyeon-Woo,102790,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_EZI37L7.png,0,0.0,Jo Hyeon-Uh - Hyeonwoo / Hyun-Woo Jo,0.0,1,4.0,2,jo-hyeon-woo,6,0.0,,,,,,,,,,,,,,,,,,,
Ganiev,Ganiev,102822,Uzbequistão,3061,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_KarepI8.png,1,0.2,Azizjon Ganiev - Azizbek Ganiyev,0.2,4,3.31,2,ganiev,7,-0.69,,,,,,1.0,,,1.0,,,,,,,,,,
Ergashev,Ergashev,102831,Uzbequistão,3061,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_6yMQiwF.png,0,0.0,Botirali Ergashev,0.0,1,3.0,2,ergashev,6,0.0,,,,,,,,,,,,,,,,,,,
Ashurmatov,Ashurmatov,102832,Uzbequistão,3061,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_ezK76yf.png,1,1.2,Rustamjon Ashurmatov - Rustam,1.2,3,3.66,2,ashurmatov,7,-0.34,,,,,1.0,1.0,,,,,,,,,,,,,
Kanno,Kanno,102838,Arábia Saudita,2344,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/01/photo_FORMATO_BbQb1ei.png,2,0.7,Mohamed Ibrahim Kanoo - Mohammed Kannu,-1.3,4,4.48,2,kanno,7,-1.3,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
Al-Khaibari,Al-Khaibari,102842,Arábia Saudita,2344,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/01/photo_FORMATO_4pu9ETA.png,2,1.9,Abdullah Mohammed Al Khaibari / Alkhaibari,1.5,4,3.74,2,al-khaibari,6,-0.29,,,,,2.0,,,1.0,,,,,,,,,,,
Adams,Adams,102866,Estados Unidos,2365,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_cC3zn7G.png,2,6.3,Tyler Shaan Adams - Richard Willams,6.7,4,8.12,2,adams,6,0.43,,1.0,,,8.0,3.0,,,5.0,,,,,,,,,,
Canobbio,Canobbio,102928,Uruguai,2356,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/22/photo_FORMATO_DbZKUln.png,2,8.95,Agustín Canobbio Graviz,15.1,5,8.1,2,canobbio,7,3.09,,,,,6.0,4.0,,2.0,1.0,,1.0,,,,,,,,
Brian Rodríguez,B. Rodríguez,102931,Uruguai,2356,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_lavBYmq.png,2,1.65,Paul Brian Rodríguez Bravo,0.8,5,6.33,2,brian-rodriguez,6,-0.99,,,,,,,1.0,2.0,1.0,,,,,,,,,,
Darwin Núñez,D. Núñez,102935,Uruguai,2356,0.9530294429,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_ll0slMu.png,2,0.6,Darwin Gabriel Núñez Ribeiro,0.0,5,8.48,2,darwin-nunez,6,-1.62,,,,,1.0,1.0,,,,,,,,,,,,,
Alcívar,Alcívar,102938,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_3Kn5Ph2.png,1,-1.3,Jordy José Alcívar Macías,-1.3,4,2.79,2,alcivar,7,-1.21,,1.0,,,,1.0,,,,,,,,,,,,,
Pellistri,Pellistri,102954,Uruguai,2356,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_kyWlbXl.png,0,0.0,Facundo Pellistri Rebollo,0.0,5,6.0,2,pellistri,6,0.0,,,,,,,,,,,,,,,,,,,
Isidor,Isidor,103005,Haiti,2334,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_AfBObQf.png,2,0.75,Wilson Isidor,1.7,5,3.79,2,isidor,7,-0.18,,,,,,3.0,1.0,1.0,1.0,,,,,1.0,,,,,
Juninho Bacuna,J. Bacuna,103059,Curaçao,3221,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_eBspXnF.png,2,6.2,Juninho Gracielo Bacuna,4.2,4,5.38,2,juninho-bacuna,7,0.12,,1.0,,,7.0,3.0,1.0,2.0,2.0,,,,,,,,,,
Cucurella,Cucurella,103067,Espanha,2326,0.8608974382,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_tfhRR32.png,2,7.6,Marc Cucurella Saseta,8.6,2,13.56,2,cucurella,7,-0.03,,,,,2.0,3.0,2.0,1.0,,,,,,1.0,,,,2.0,
Ndicka,Ndicka,103086,Costa do Marfim,2350,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_90NwirR.png,0,0.0,Obite Evan N'Dicka,0.0,3,6.0,2,ndicka,5,0.0,,,,,,,,,,,,,,,,,,,
Éderson,Éderson,103099,Brasil,2318,0.7320270084,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/07/photo_FORMATO.png,1,0.5,Éderson José dos Santos Lourenço da Silva,0.5,4,3.41,2,ederson,6,-0.59,,,,,,1.0,,1.0,,,,,,,,,,,
Gyökeres,Gyökeres,103110,Suécia,2368,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_Eo1xEFG.png,2,9.6,Viktor Einar Gyökeres,3.4,5,16.1,2,gyokeres,7,-2.29,1.0,,,,,2.0,4.0,2.0,1.0,,1.0,,,1.0,,,,,
Aït-Nouri,Aït-Nouri,103149,Argélia,2338,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_ZcY62Es.png,2,5.95,Rayan Ait Nouri,4.2,2,10.0,2,ait-nouri,7,-0.74,,,,,7.0,3.0,,1.0,3.0,,,,,,,,,,
Pedro Porro,P. Porro,103184,Espanha,2326,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_QshlC2Q.png,1,8.2,Pedro Antonio Porro Sauceda,8.2,2,9.32,2,pedro-porro,7,1.32,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,
Paik Seung-Ho,P. Seung-Ho,103187,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_lDo5YxW.png,1,1.0,Seung-Ho Paik,0.0,4,4.38,2,paik-seung-ho,7,0.0,,,,,,,,,2.0,,,,,,,,,,
Cucho Hernández,C. Hernández,103251,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_bPJhIQE.png,0,0.0,Juan Camilo Hernández Suárez,0.0,5,7.0,2,cucho-hernandez,6,0.0,,,,,,,,,,,,,,,,,,,
Roldán,Roldán,103263,Estados Unidos,2365,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_eyTCflT.png,0,0.0,Cristian Roldán,0.0,4,6.0,2,roldan,6,0.0,,,,,,,,,,,,,,,,,,,
Lionel Scaloni,L. Scaloni,103269,Argentina,2357,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/10/photo_FORMATO_CRzgM8X.png,2,9.66,Lionel Sebastián Scaloni,8.34,6,12.66,2,lionel-scaloni,7,-0.03,,,,,,,,,,,,,,,,,,,2.0
Lucumí,Lucumí,103318,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_lEfASCV.png,0,0.0,Jhon Jáner Lucumí Bonilla,0.0,3,7.0,2,lucumi,7,0.0,,,,,,,,,,,,,,,,,,,
Saliba,Saliba,103340,França,2385,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_4XzDtsH.png,2,5.9,William Alain André Gabriel Saliba,10.3,3,10.57,2,saliba,7,1.17,,,,,4.0,,,1.0,,,,,,,,,,1.0,
Dumfries,Dumfries,103351,Holanda,2381,0.8167129837,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_CKfLLWM.png,2,6.45,Denzel Justus Morris Dumfries,11.4,2,11.53,2,dumfries,7,1.32,2.0,,,,2.0,2.0,,,1.0,,,,,,,,,,
Konan,Konan,103419,Costa do Marfim,2350,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_YARY7se.png,2,3.65,Ghislain Niclomande Konan - N'clomande,1.5,2,4.02,2,konan,7,-0.41,,,,,1.0,,,1.0,,,,,,,,,,1.0,
Édouard Mendy,E. Mendy,103423,Senegal,2347,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_pqZ0iCm.png,2,2.2,Édouard Osoque Mendy,0.9,1,9.35,2,edouard-mendy,2,-1.55,,,,8.0,,,,,,,,,6.0,,,,,,
Sibo,Sibo,103453,Gana,2375,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_Qtc4KaC.png,1,-1.2,Kwasi Sibo,-1.2,4,2.82,2,sibo,7,-1.18,,,,,,4.0,,,,,,,,,,,,,
Fassnacht,Fassnacht,103461,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_sxToFrW.png,0,0.0,Christian Andreas Fassnacht,0.0,4,6.0,2,fassnacht,6,0.0,,,,,,,,,,,,,,,,,,,
Aebischer,Aebischer,103470,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_PEgzoBL.png,1,2.9,Michel Aebischer,0.0,4,3.43,2,aebischer,6,0.0,,,,,,,2.0,,1.0,,,,,,,,,,
Mohanad Ali,M. Ali,103536,Iraque,2342,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_8o0K4yg.png,1,0.0,Mohanad Ali Kadhim Al-Shammari,0.0,5,1.61,2,mohanad-ali,6,0.0,,,,,,,,,,,,,,,,,,,
Sulaka,Sulaka,103542,Iraque,2342,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_951TLcp.png,1,2.3,Rebin Ghareeb Solaka Adhamat,2.3,3,3.23,2,sulaka,6,0.23,,,,,1.0,,,1.0,,,,,,,,,,,
Castagne,Castagne,103561,Bélgica,2392,0.7640773779,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_28JUw5x.png,2,2.6,Timothy Castagne,5.0,2,6.79,2,castagne,6,0.26,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,
Chory,Chory,103612,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_1iDoeL8.png,1,-0.4,Tomáš Chorý - Tomás,0.0,5,3.9,2,chory,6,0.0,,,,,,3.0,,,1.0,,,,,,,,,,
Chong,Chong,103629,Curaçao,3221,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_NMB1wDf.png,2,2.6,Tahith Jose Girigorio Djorkaef Chong,1.2,4,2.77,2,chong,7,-0.23,,,,,,2.0,,1.0,10.0,,,,,,,,,,
Celik,Celik,103646,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_twn7xAR.png,1,0.9,Mehmet Zeki Çelik,0.0,2,5.16,2,celik,6,0.0,,,,,,1.0,1.0,,,,,,,,,,,,
Rafael Leão,R. Leão,103648,Portugal,2390,0.8633435432,True,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_qmX3zx6.png,2,4.1,Rafael Alexandre da Conceição Leão,8.2,5,11.64,2,rafael-leao,6,0.34,,,,,,1.0,,,1.0,,1.0,,,,,,,,
Ditta,Ditta,103674,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_220x220_aoyGrri.png,0,0.0,Willer Emilio Ditta Pérez,0.0,3,5.0,2,ditta,6,0.0,,,,,,,,,,,,,,,,,,,
Dargahi,Dargahi,103680,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_7a8e57A.png,0,0.0,Dennis-Yerai Eckert Ayensa,0.0,5,5.0,2,dargahi,6,0.0,,,,,,,,,,,,,,,,,,,
Julián Álvarez,J. Álvarez,103687,Argentina,2357,0.9683252785,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_ui3MC5S.png,2,1.2,Julián Álvarez,1.2,5,12.19,2,julian-alvarez,7,-1.95,,,,,1.0,1.0,1.0,,,,,,,,,,,,
Alvarado,Alvarado,103713,México,2360,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_E8I0xg9.png,1,8.4,Roberto Carlos Alvarado Hernández,0.0,4,7.75,2,alvarado,7,0.0,1.0,,,,2.0,2.0,,,2.0,,,,,,,,,,
Tchouaméni,Tchouaméni,103756,França,2385,0.9018995696,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_94wXyyB.png,1,6.0,Aurélien Djani Tchouaméni,0.0,4,13.38,2,tchouameni,7,0.0,,,,,4.0,,,,,,,,,,,,,,
Koundé,Koundé,103759,França,2385,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_Dm2opHT.png,2,4.05,Jules Olivier Kounde,5.5,2,10.3,2,kounde,7,-0.29,,,,,2.0,1.0,,,1.0,,,,,1.0,,,,1.0,
Valery,Valery,103775,Tunísia,2337,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_rGCte6L.png,2,0.9,Yan Valéry,2.7,2,3.17,2,valery,7,0.25,,,,,2.0,4.0,,,,,,,,,,,,,
Sadílek,Sadílek,103857,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_A1YzQ4D.png,1,1.2,Michal Sadílek,0.0,4,3.65,2,sadilek,7,0.0,,,,,,,1.0,,,,,,,,,,,,
Pineda,Pineda,103888,México,2360,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_XDIaX80.png,0,0.0,Orbelín Pineda Alvarado,0.0,4,6.0,2,pineda,6,0.0,,,,,,,,,,,,,,,,,,,
Zendejas,Zendejas,103893,Estados Unidos,2365,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_CiduVhJ.png,0,0.0,Alejandro Zendejas Saavedra - Álex,0.0,5,7.0,2,zendejas,6,0.0,,,,,,,,,,,,,,,,,,,
Huerta,Huerta,103897,México,2360,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_synIfeO.png,0,0.0,César Saúl Huerta Valera,0.0,5,5.0,2,huerta,6,0.0,,,,,,,,,,,,,,,,,,,
Nmecha,Nmecha,103898,Alemanha,2384,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_4Gub075.png,2,17.35,Felix Kalu Nmecha,16.5,4,14.73,2,nmecha,6,1.97,1.0,,,,10.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,
Lee Kang-In,L. Kang-In,103900,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_XNwpOR8.png,1,9.7,Lee Kangin,0.0,4,9.01,2,lee-kang-in,7,0.0,1.0,,,,1.0,,1.0,,4.0,,,,,,,,,,
Eric García,E. García,103908,Espanha,2326,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_5Ejkctq.png,0,0.0,Eric García Martret,0.0,3,7.0,2,eric-garcia,6,0.0,,,,,,,,,,,,,,,,,,,
